gene_id,gene_name
ENSG00000198840,MT-ND3
ENSG00000198886,MT-ND4
ENSG00000187608,ISG15
ENSG00000142634,EFHD2
ENSG00000117318,ID3
ENSG00000117632,STMN1
ENSG00000186160,CYP4Z1
ENSG00000177606,JUN
ENSG00000143013,LMO4
ENSG00000143418,CERS2
ENSG00000177954,RPS27
ENSG00000169242,EFNA1
ENSG00000125462,C1orf61
ENSG00000143320,CRABP2
ENSG00000162734,PEA15
ENSG00000143153,ATP1B1
ENSG00000162630,B3GALT2
ENSG00000184144,CNTN2
ENSG00000196187,TMEM63A
ENSG00000163041,H3F3A
ENSG00000198835,GJC2
ENSG00000135744,AGT
ENSG00000115756,HPCAL1
ENSG00000143933,CALM2
ENSG00000136720,HS6ST1
ENSG00000153234,NR4A2
ENSG00000136535,TBR1
ENSG00000168542,COL3A1
ENSG00000115461,IGFBP5
ENSG00000135919,SERPINE2
ENSG00000187514,PTMA
ENSG00000182600,SNORC
ENSG00000115648,MLPH
ENSG00000176720,BOK
ENSG00000157152,SYN2
ENSG00000012223,LTF
ENSG00000080822,CLDND1
ENSG00000158258,CLSTN2
ENSG00000163536,SERPINI1
ENSG00000181092,ADIPOQ
ENSG00000171476,HOPX
ENSG00000118816,CCNI
ENSG00000152583,SPARCL1
ENSG00000145335,SNCA
ENSG00000120251,GRIA2
ENSG00000109472,CPE
ENSG00000150625,GPM6A
ENSG00000176788,BASP1
ENSG00000079215,SLC1A3
ENSG00000145592,RPL37
ENSG00000164326,CARTPT
ENSG00000131711,MAP1B
ENSG00000113319,RASGRF2
ENSG00000175426,PCSK1
ENSG00000198944,SOWAHA
ENSG00000164403,SHROOM1
ENSG00000113140,SPARC
ENSG00000022355,GABRA1
ENSG00000074317,SNCB
ENSG00000137267,TUBB2A
ENSG00000206503,HLA-A
ENSG00000231500,RPS18
ENSG00000096384,HSP90AB1
ENSG00000197261,C6orf141
ENSG00000156508,EEF1A1
ENSG00000164434,FABP7
ENSG00000172673,THEMIS
ENSG00000118523,CTGF
ENSG00000074706,IPCEF1
ENSG00000176381,PRR18
ENSG00000075624,ACTB
ENSG00000189043,NDUFA4
ENSG00000006468,ETV1
ENSG00000136237,RAPGEF5
ENSG00000240583,AQP1
ENSG00000170027,YWHAG
ENSG00000135218,CD36
ENSG00000170381,SEMA3E
ENSG00000205542,TMSB4X
ENSG00000046653,GPM6B
ENSG00000102109,PCSK1N
ENSG00000102003,SYP
ENSG00000133142,TCEAL4
ENSG00000123560,PLP1
ENSG00000147403,RPL10
ENSG00000104327,CALB1
ENSG00000165023,DIRAS2
ENSG00000070214,SLC44A1
ENSG00000106976,DNM1
ENSG00000167123,CERCAM
ENSG00000107317,PTGDS
ENSG00000117984,CTSD
ENSG00000129757,CDKN1C
ENSG00000124920,MYRF
ENSG00000167996,FTH1
ENSG00000124939,SCGB2A1
ENSG00000133318,RTN3
ENSG00000172508,CARNS1
ENSG00000149273,RPS3
ENSG00000152578,GRIA4
ENSG00000109971,HSPA8
ENSG00000067057,PFKP
ENSG00000026025,VIM
ENSG00000173267,SNCG
ENSG00000148671,ADIRF
ENSG00000197430,OPALIN
ENSG00000171314,PGAM1
ENSG00000099194,SCD
ENSG00000148826,NKX6-2
ENSG00000139190,VAMP1
ENSG00000111674,ENO2
ENSG00000008394,MGST1
ENSG00000205592,MUC19
ENSG00000123416,TUBA1B
ENSG00000167552,TUBA1A
ENSG00000135426,TESPA1
ENSG00000229117,RPL41
ENSG00000092841,MYL6
ENSG00000067715,SYT1
ENSG00000139438,FAM222A
ENSG00000111249,CUX2
ENSG00000176871,WSB2
ENSG00000157782,CABP1
ENSG00000256193,LINC00507
ENSG00000133083,DCLK1
ENSG00000133112,TPT1
ENSG00000136099,PCDH8
ENSG00000184564,SLITRK6
ENSG00000126803,HSPA2
ENSG00000054690,PLEKHH1
ENSG00000100604,CHGA
ENSG00000165943,MOAP1
ENSG00000036530,CYP46A1
ENSG00000166165,CKB
ENSG00000134138,MEIS2
ENSG00000166963,MAP1A
ENSG00000137818,RPLP1
ENSG00000103811,CTSH
ENSG00000140479,PCSK6
ENSG00000188536,HBA2
ENSG00000134419,RPS15A
ENSG00000122254,HS3ST2
ENSG00000087250,MT3
ENSG00000172137,CALB2
ENSG00000003249,DBNDD1
ENSG00000108298,RPL19
ENSG00000173786,CNP
ENSG00000171885,AQP4
ENSG00000118271,TTR
ENSG00000141424,SLC39A6
ENSG00000101489,CELF4
ENSG00000125814,NAPB
ENSG00000115268,RPS15
ENSG00000167676,PLIN4
ENSG00000105711,SCN1B
ENSG00000089356,FXYD3
ENSG00000105695,MAG
ENSG00000105290,APLP1
ENSG00000174521,TTC9B
ENSG00000086548,CEACAM6
ENSG00000130203,APOE
ENSG00000160014,CALM3
ENSG00000087086,FTL
ENSG00000104888,SLC17A7
ENSG00000083845,RPS5
ENSG00000100285,NEFH
ENSG00000100362,PVALB
ENSG00000100097,LGALS1
ENSG00000100427,MLC1
ENSG00000130487,KLHDC7B
ENSG00000160307,S100B
ENSG00000175130,MARCKSL1
ENSG00000179178,TMEM125
ENSG00000142937,RPS8
ENSG00000158710,TAGLN2
ENSG00000135821,GLUL
ENSG00000117691,NENF
ENSG00000143947,RPS27A
ENSG00000172005,MAL
ENSG00000136541,ERMN
ENSG00000115414,FN1
ENSG00000115468,EFHD1
ENSG00000188846,RPL14
ENSG00000248592,TMEM110-MUSTN1
ENSG00000269028,MTRNR2L12
ENSG00000091513,TF
ENSG00000188001,TPRG1
ENSG00000151552,QDPR
ENSG00000118785,SPP1
ENSG00000145425,RPS3A
ENSG00000164124,TMEM144
ENSG00000170561,IRX2
ENSG00000113231,PDE8B
ENSG00000164176,EDIL3
ENSG00000145824,CXCL14
ENSG00000164587,RPS14
ENSG00000204655,MOG
ENSG00000152661,GJA1
ENSG00000112306,RPS12
ENSG00000091831,ESR1
ENSG00000173467,AGR3
ENSG00000092964,DPYSL2
ENSG00000156482,RPL30
ENSG00000136960,ENPP2
ENSG00000104419,NDRG1
ENSG00000137154,RPS6
ENSG00000155886,SLC24A2
ENSG00000187764,SEMA4D
ENSG00000197958,RPL12
ENSG00000107331,ABCA2
ENSG00000188229,TUBB4B
ENSG00000255823,MTRNR2L8
ENSG00000245532,NEAT1
ENSG00000237949,LINC00844
ENSG00000138326,RPS24
ENSG00000138207,RBP4
ENSG00000151892,GFRA1
ENSG00000084453,SLCO1A2
ENSG00000089009,RPL6
ENSG00000129538,RNASE1
ENSG00000214548,MEG3
ENSG00000103260,METRN
ENSG00000005513,SOX8
ENSG00000167191,GPRC5B
ENSG00000125148,MT2A
ENSG00000169715,MT1E
ENSG00000205364,MT1M
ENSG00000125144,MT1G
ENSG00000103089,FA2H
ENSG00000103154,NECAB2
ENSG00000109099,PMP22
ENSG00000256618,MTRNR2L1
ENSG00000126860,EVI2A
ENSG00000108387,SEPT4
ENSG00000078804,TP53INP2
ENSG00000064787,BCAS1
ENSG00000101210,EEF1A2
ENSG00000197766,CFD
ENSG00000167641,PPP1R14A
ENSG00000255974,CYP2A6
ENSG00000184221,OLIG1
ENSG00000212907,MT-ND4L
ENSG00000198727,MT-CYB
ENSG00000160781,PAQR6
ENSG00000018625,ATP1A2
ENSG00000117266,CDK18
ENSG00000171863,RPS7
ENSG00000157103,SLC6A1
ENSG00000168309,FAM107A
ENSG00000144802,NFKBIZ
ENSG00000013297,CLDN11
ENSG00000174607,UGT8
ENSG00000164161,HHIP
ENSG00000171368,TPPP
ENSG00000118432,CNR1
ENSG00000196262,PPIA
ENSG00000189056,RELN
ENSG00000105894,PTN
ENSG00000198034,RPS4X
ENSG00000005893,LAMP2
ENSG00000175356,SCUBE2
ENSG00000107485,GATA3
ENSG00000107902,LHPP
ENSG00000111275,ALDH2
ENSG00000131981,LGALS3
ENSG00000080824,HSP90AA1
ENSG00000140988,RPS2
ENSG00000150656,CNDP1
ENSG00000125869,LAMP5
ENSG00000141934,PLPP2
ENSG00000266964,FXYD1
ENSG00000167755,KLK6
ENSG00000228253,MT-ATP8
ENSG00000198786,MT-ND5
ENSG00000272141,AL390719.2
ENSG00000158825,CDA
ENSG00000277199,LINC01632
ENSG00000163154,TNFAIP8L2
ENSG00000243364,EFNA4
ENSG00000117724,CENPF
ENSG00000115523,GNLY
ENSG00000153574,RPIA
ENSG00000118997,DNAH7
ENSG00000172888,ZNF621
ENSG00000109255,NMU
ENSG00000039139,DNAH5
ENSG00000113615,SEC24A
ENSG00000185811,IKZF1
ENSG00000277149,TYW1B
ENSG00000105784,RUNDC3B
ENSG00000067992,PDK3
ENSG00000147059,SPIN2A
ENSG00000225706,PTPRD-AS1
ENSG00000110660,SLC35F2
ENSG00000272983,AL117339.4
ENSG00000108187,PBLD
ENSG00000272630,AL731563.3
ENSG00000133665,DYDC2
ENSG00000165887,ANKRD2
ENSG00000111404,RERGL
ENSG00000185479,KRT6B
ENSG00000090382,LYZ
ENSG00000249550,LINC01234
ENSG00000136098,NEK3
ENSG00000134901,KDELC1
ENSG00000139835,GRTP1
ENSG00000100802,C14orf93
ENSG00000100490,CDKL1
ENSG00000214265,AC124312.1
ENSG00000104129,DNAJC17
ENSG00000175318,GRAMD2A
ENSG00000231439,WASIR2
ENSG00000206172,HBA1
ENSG00000274341,AC005899.6
ENSG00000266173,STRADA
ENSG00000119547,ONECUT2
ENSG00000174788,PCP2
ENSG00000267470,ZNF571-AS1
ENSG00000028277,POU2F2
ENSG00000268654,MIMT1
ENSG00000235609,AF127577.4
ENSG00000260583,AP000223.1
ENSG00000078900,TP73
ENSG00000185436,IFNLR1
ENSG00000142945,KIF2C
ENSG00000137960,GIPC2
ENSG00000226835,AC097059.1
ENSG00000134198,TSPAN2
ENSG00000235933,LINC01779
ENSG00000143127,ITGA10
ENSG00000234222,LIX1L-AS1
ENSG00000269621,AL589765.7
ENSG00000237975,FLG-AS1
ENSG00000169418,NPR1
ENSG00000225518,LINC01703
ENSG00000226833,AC092164.1
ENSG00000205221,VIT
ENSG00000272711,AC019069.1
ENSG00000115423,DNAH6
ENSG00000230606,AC092683.1
ENSG00000115919,KYNU
ENSG00000225526,MKRN2OS
ENSG00000242428,C3orf67-AS1
ENSG00000044524,EPHA3
ENSG00000172771,EFCAB12
ENSG00000184378,ACTRT3
ENSG00000177694,NAALADL2
ENSG00000283175,AC007920.2
ENSG00000114473,IQCG
ENSG00000213759,UGT2B11
ENSG00000081051,AFP
ENSG00000174808,BTC
ENSG00000164129,NPY5R
ENSG00000272057,AC016575.1
ENSG00000152611,CAPSL
ENSG00000272370,AC092354.2
ENSG00000183474,GTF2H2C
ENSG00000172058,SERF1A
ENSG00000271714,AC010501.1
ENSG00000247121,AC009126.1
ENSG00000204540,PSORS1C1
ENSG00000196748,CLPSL2
ENSG00000146070,PLA2G7
ENSG00000260000,AL133338.1
ENSG00000272356,AL080317.3
ENSG00000272848,AL009176.1
ENSG00000228878,SEPT7-AS1
ENSG00000226179,LINC00685
ENSG00000230797,YY2
ENSG00000279750,AC239585.2
ENSG00000165349,SLC7A3
ENSG00000261542,AC011978.2
ENSG00000165105,RASEF
ENSG00000136872,ALDOB
ENSG00000056558,TRAF1
ENSG00000177943,MAMDC4
ENSG00000110169,HPX
ENSG00000255774,AP000439.2
ENSG00000271757,AP002360.2
ENSG00000246523,AP001528.1
ENSG00000086991,NOX4
ENSG00000277459,AP001527.2
ENSG00000166736,HTR3A
ENSG00000254873,AP001267.1
ENSG00000109944,JHY
ENSG00000232807,AL137186.2
ENSG00000134470,IL15RA
ENSG00000077327,SPAG6
ENSG00000228651,AC074327.1
ENSG00000230229,AC010163.2
ENSG00000237523,LINC00857
ENSG00000130038,CRACR2A
ENSG00000111247,RAD51AP1
ENSG00000284730,AC068987.5
ENSG00000170523,KRT83
ENSG00000139351,SYCP3
ENSG00000186710,CFAP73
ENSG00000272515,AL355578.1
ENSG00000134899,ERCC5
ENSG00000272695,GAS6-DT
ENSG00000168229,PTGDR
ENSG00000170345,FOS
ENSG00000211899,IGHM
ENSG00000128917,DLL4
ENSG00000247982,LINC00926
ENSG00000166825,ANPEP
ENSG00000275445,AC092119.3
ENSG00000159648,TEPP
ENSG00000274698,AC099521.1
ENSG00000157429,ZNF19
ENSG00000179111,HES7
ENSG00000133028,SCO1
ENSG00000166482,MFAP4
ENSG00000005102,MEOX1
ENSG00000108511,HOXB6
ENSG00000204584,FLJ45513
ENSG00000267365,KCNJ2-AS1
ENSG00000262831,AC145207.3
ENSG00000075643,MOCOS
ENSG00000197632,SERPINB2
ENSG00000125885,MCM8
ENSG00000275457,AL117332.1
ENSG00000270001,AL121894.2
ENSG00000101049,SGK2
ENSG00000267688,KF456478.1
ENSG00000160951,PTGER1
ENSG00000267498,AC007786.1
ENSG00000261400,AC011525.1
ENSG00000105672,ETV2
ENSG00000090554,FLT3LG
ENSG00000187792,ZNF70
ENSG00000100078,PLA2G3
ENSG00000073146,MOV10L1
ENSG00000184012,TMPRSS2
ENSG00000271895,AL109811.3
ENSG00000230325,AL359921.1
ENSG00000237250,AL359924.1
ENSG00000272677,AC124016.1
ENSG00000253549,CA3-AS1
ENSG00000250365,AL139353.2
ENSG00000247970,AL160313.1
ENSG00000129654,FOXJ1
ENSG00000283667,AC009802.1
ENSG00000280213,UCKL1-AS1
ENSG00000223764,AL645608.1
ENSG00000016602,CLCA4
ENSG00000206538,VGLL3
ENSG00000187955,COL14A1
ENSG00000087303,NID2
ENSG00000241484,ARHGAP8
ENSG00000188672,RHCE
ENSG00000127129,EDN2
ENSG00000280670,CCDC163
ENSG00000064886,CHI3L2
ENSG00000183508,TENT5C
ENSG00000236140,AC245014.1
ENSG00000196420,S100A5
ENSG00000196754,S100A2
ENSG00000273026,AL358472.3
ENSG00000183831,ANKRD45
ENSG00000150681,RGS18
ENSG00000154309,DISP1
ENSG00000187554,TLR5
ENSG00000135773,CAPN9
ENSG00000179270,C2orf71
ENSG00000228541,AC093159.1
ENSG00000236780,LINC01829
ENSG00000273466,AC012510.1
ENSG00000272644,AC097468.3
ENSG00000175084,DES
ENSG00000153283,CD96
ENSG00000144843,ADPRH
ENSG00000248932,AC097103.2
ENSG00000272247,AC080013.5
ENSG00000273403,AC107294.3
ENSG00000272922,AC107294.1
ENSG00000273375,AC055764.2
ENSG00000109805,NCAPG
ENSG00000174130,TLR6
ENSG00000269949,AC069307.1
ENSG00000173083,HPSE
ENSG00000272646,AC079766.1
ENSG00000151388,ADAMTS12
ENSG00000123219,CENPK
ENSG00000272525,AC099522.2
ENSG00000164406,LEAP2
ENSG00000204758,AC008429.1
ENSG00000153157,SYCP2L
ENSG00000137392,CLPS
ENSG00000271967,AL583856.2
ENSG00000203809,LIN28B-AS1
ENSG00000236823,AL035691.1
ENSG00000184786,TCTE3
ENSG00000272905,AC018648.1
ENSG00000106631,MYL7
ENSG00000226581,AC092634.3
ENSG00000188372,ZP3
ENSG00000232667,AC004862.1
ENSG00000006377,DLX6
ENSG00000274536,AL034397.3
ENSG00000156925,ZIC3
ENSG00000253696,KBTBD11-OT1
ENSG00000277526,AC245123.1
ENSG00000253250,C8orf88
ENSG00000253988,AC079015.1
ENSG00000261587,TMEM249
ENSG00000136943,CTSV
ENSG00000271631,AL139041.1
ENSG00000284977,AL160272.1
ENSG00000204001,LCN8
ENSG00000188211,NCR3LG1
ENSG00000186714,CCDC73
ENSG00000255542,AC090625.2
ENSG00000166840,GLYATL1
ENSG00000166959,MS4A8
ENSG00000167286,CD3D
ENSG00000149548,CCDC15
ENSG00000165568,AKR1E2
ENSG00000261671,AL158211.1
ENSG00000026103,FAS
ENSG00000273162,AL133215.2
ENSG00000233334,FAM53B-AS1
ENSG00000134539,KLRD1
ENSG00000139055,ERP27
ENSG00000123342,MMP19
ENSG00000127324,TSPAN8
ENSG00000278011,AC024941.1
ENSG00000271259,AC010201.1
ENSG00000277873,AC131159.2
ENSG00000236617,AC127070.1
ENSG00000122035,RASL11A
ENSG00000259321,AL136295.2
ENSG00000133962,CATSPERB
ENSG00000211893,IGHG2
ENSG00000140451,PIF1
ENSG00000156218,ADAMTSL3
ENSG00000259553,AC140725.1
ENSG00000262468,LINC01569
ENSG00000169347,GP2
ENSG00000038358,EDC4
ENSG00000259768,AC004943.2
ENSG00000278058,AC009159.3
ENSG00000284512,AC092718.8
ENSG00000141255,SPATA22
ENSG00000161929,SCIMP
ENSG00000175106,TVP23C
ENSG00000265139,AC005899.3
ENSG00000266718,AC079336.5
ENSG00000161405,IKZF3
ENSG00000186185,KIF18B
ENSG00000167105,TMEM92
ENSG00000271605,MILR1
ENSG00000167850,CD300C
ENSG00000185527,PDE6G
ENSG00000231824,AKAIN1
